computer,description,deviceid,name,service
curtislaptop,ACPI Multiprocessor PC,ROOT\ACPI_HAL\0000,ACPI Multiprocessor PC,\Driver\ACPI_HAL
curtislaptop,Microsoft ACPI-Compliant System,ACPI_HAL\PNP0C08\0,Microsoft ACPI-Compliant System,ACPI
curtislaptop,Intel Processor,ACPI\GENUINEINTEL_-_X86_FAMILY_6_MODEL_14\_0,Genuine Intel(R) CPU           T2300  @ 1.66GHz,intelppm
curtislaptop,Intel Processor,ACPI\GENUINEINTEL_-_X86_FAMILY_6_MODEL_14\_1,Genuine Intel(R) CPU           T2300  @ 1.66GHz,intelppm
curtislaptop,ACPI Thermal Zone,ACPI\THERMALZONE\THM_,ACPI Thermal Zone,
curtislaptop,Microsoft AC Adapter,ACPI\ACPI0003\2&DABA3FF&0,Microsoft AC Adapter,CmBatt
curtislaptop,Microsoft ACPI-Compliant Control Method Battery,ACPI\PNP0C0A\1,Microsoft ACPI-Compliant Control Method Battery,CmBatt
curtislaptop,ACPI Lid,ACPI\PNP0C0D\2&DABA3FF&0,ACPI Lid,
curtislaptop,ACPI Power Button,ACPI\PNP0C0C\2&DABA3FF&0,ACPI Power Button,
curtislaptop,ACPI Sleep Button,ACPI\PNP0C0E\2&DABA3FF&0,ACPI Sleep Button,
curtislaptop,System board,ACPI\PNP0C01\1,System board,
curtislaptop,PCI bus,ACPI\PNP0A03\2&DABA3FF&0,PCI bus,pci
curtislaptop,Mobile Intel(R) 955XM/945GM/PM/GMS/940GML Express Processor to DRAM Controller – 27A0,PCI\VEN_8086&DEV_27A0&SUBSYS_00000000&REV_03\3&61AAA01&0&00,Mobile Intel(R) 955XM/945GM/PM/GMS/940GML Express Processor to DRAM Controller – 27A0,
curtislaptop,Mobile Intel(R) 945GM Express Chipset Family,PCI\VEN_8086&DEV_27A2&SUBSYS_01BD1028&REV_03\3&61AAA01&0&10,Mobile Intel(R) 945GM Express Chipset Family,ialm
curtislaptop,Plug and Play Monitor,DISPLAY\CPT13A6\4&15E83EC0&0&80861500&00&02,Plug and Play Monitor,
curtislaptop,Plug and Play Monitor,DISPLAY\CPT13A6\4&15E83EC0&0&00000400&00&02,Plug and Play Monitor,
curtislaptop,Default Monitor,DISPLAY\DEFAULT_MONITOR\4&15E83EC0&0&00000100&00&02,Default Monitor,
curtislaptop,Mobile Intel(R) 945GM Express Chipset Family,PCI\VEN_8086&DEV_27A6&SUBSYS_01BD1028&REV_03\3&61AAA01&0&11,Mobile Intel(R) 945GM Express Chipset Family,ialm
curtislaptop,Plug and Play Monitor,DISPLAY\CPT13A6\4&BAA9467&0&80871400&00&22,Plug and Play Monitor,
curtislaptop,Default Monitor,DISPLAY\DEFAULT_MONITOR\4&BAA9467&0&80872100&00&22,Default Monitor,
curtislaptop,Microsoft UAA Bus Driver for High Definition Audio,PCI\VEN_8086&DEV_27D8&SUBSYS_01BD1028&REV_01\3&61AAA01&0&D8,Microsoft UAA Bus Driver for High Definition Audio,HDAudBus
curtislaptop,SigmaTel High Definition Audio CODEC,HDAUDIO\FUNC_01&VEN_8384&DEV_7690&SUBSYS_102801BD&REV_1022\4&2973568E&0&0001,SigmaTel High Definition Audio CODEC,STHDA
curtislaptop,Conexant HDA D110 MDC V.92 Modem,HDAUDIO\FUNC_02&VEN_14F1&DEV_2BFA&SUBSYS_14F100C3&REV_0900\4&2973568E&0&0102,Conexant HDA D110 MDC V.92 Modem,Modem
curtislaptop,Intel(R) 82801G (ICH7 Family) PCI Express Root Port - 27D0,PCI\VEN_8086&DEV_27D0&SUBSYS_00000000&REV_01\3&61AAA01&0&E0,Intel(R) 82801G (ICH7 Family) PCI Express Root Port - 27D0,pci
curtislaptop,Intel(R) PRO/Wireless 3945ABG Network Connection,PCI\VEN_8086&DEV_4222&SUBSYS_10208086&REV_02\4&6C79FC5&0&00E0,Intel(R) PRO/Wireless 3945ABG Network Connection,w39n51
curtislaptop,Intel(R) 82801G (ICH7 Family) PCI Express Root Port - 27D6,PCI\VEN_8086&DEV_27D6&SUBSYS_00000000&REV_01\3&61AAA01&0&E3,Intel(R) 82801G (ICH7 Family) PCI Express Root Port - 27D6,pci
curtislaptop,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27C8,PCI\VEN_8086&DEV_27C8&SUBSYS_01BD1028&REV_01\3&61AAA01&0&E8,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27C8,usbuhci
curtislaptop,USB Root Hub,USB\ROOT_HUB\4&10D90B96&0,USB Root Hub,usbhub
curtislaptop,Microsoft USB Wheel Mouse Optical,USB\VID_045E&PID_0040\5&18BD802A&0&1,Microsoft USB Wheel Mouse Optical,HidUsb
curtislaptop,Microsoft USB Wheel Mouse Optical,HID\VID_045E&PID_0040\6&A84E057&0&0000,Microsoft USB Wheel Mouse Optical,mouhid
curtislaptop,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27C9,PCI\VEN_8086&DEV_27C9&SUBSYS_01BD1028&REV_01\3&61AAA01&0&E9,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27C9,usbuhci
curtislaptop,USB Root Hub,USB\ROOT_HUB\4&3932BA15&0,USB Root Hub,usbhub
